,Unemployment rate (not sa),Date
79,4.8,2008-08-01
80,4.7,2008-09-01
81,5.1,2008-10-01
82,5.4,2008-11-01
83,5.8,2008-12-01
84,7.1,2009-01-01
85,7.5,2009-02-01
86,7.5,2009-03-01
87,7.0,2009-04-01
88,7.5,2009-05-01
89,8.0,2009-06-01
90,7.9,2009-07-01
91,7.7,2009-08-01
92,7.5,2009-09-01
93,7.7,2009-10-01
94,7.6,2009-11-01
95,7.6,2009-12-01
96,8.5,2010-01-01
97,8.6,2010-02-01
98,8.4,2010-03-01
99,7.5,2010-04-01
100,7.5,2010-05-01
101,7.9,2010-06-01
102,8.1,2010-07-01
103,8.0,2010-08-01
104,7.5,2010-09-01
105,7.4,2010-10-01
106,7.6,2010-11-01
107,7.2,2010-12-01
108,7.9,2011-01-01
109,7.8,2011-02-01
110,7.4,2011-03-01
111,6.9,2011-04-01
112,7.2,2011-05-01
113,7.7,2011-06-01
114,7.6,2011-07-01
115,7.5,2011-08-01
116,7.2,2011-09-01
117,7.0,2011-10-01
118,6.7,2011-11-01
119,6.7,2011-12-01
120,7.3,2012-01-01
121,7.3,2012-02-01
122,6.9,2012-03-01
123,6.4,2012-04-01
124,6.7,2012-05-01
125,7.3,2012-06-01
126,7.3,2012-07-01
127,7.1,2012-08-01
128,6.5,2012-09-01
129,6.6,2012-10-01
130,6.5,2012-11-01
131,6.6,2012-12-01
132,7.3,2013-01-01
133,7.0,2013-02-01
134,6.7,2013-03-01
135,6.2,2013-04-01
136,6.5,2013-05-01
137,7.0,2013-06-01
138,6.8,2013-07-01
139,6.5,2013-08-01
140,6.2,2013-09-01
141,6.5,2013-10-01
142,6.0,2013-11-01
143,5.7,2013-12-01
144,6.3,2014-01-01
145,6.3,2014-02-01
146,6.1,2014-03-01
147,5.3,2014-04-01
148,5.7,2014-05-01
149,6.0,2014-06-01
150,6.1,2014-07-01
151,5.9,2014-08-01
152,5.3,2014-09-01
153,5.3,2014-10-01
154,5.3,2014-11-01
155,5.1,2014-12-01
156,5.9,2015-01-01
157,5.5,2015-02-01
158,5.3,2015-03-01
159,4.7,2015-04-01
160,5.1,2015-05-01
161,5.3,2015-06-01
162,5.2,2015-07-01
163,5.0,2015-08-01
164,4.6,2015-09-01
165,4.7,2015-10-01
166,4.5,2015-11-01
167,4.3,2015-12-01
168,4.7,2016-01-01
169,4.7,2016-02-01
170,4.4,2016-03-01
171,4.0,2016-04-01
172,4.0,2016-05-01
173,4.5,2016-06-01
174,4.5,2016-07-01
175,4.4,2016-08-01
176,4.1,2016-09-01
177,4.2,2016-10-01
178,4.0,2016-11-01
179,3.9,2016-12-01
180,4.5,2017-01-01
181,4.3,2017-02-01
182,4.0,2017-03-01
183,3.6,2017-04-01
184,3.7,2017-05-01
185,4.3,2017-06-01
186,4.3,2017-07-01
187,4.2,2017-08-01
188,3.7,2017-09-01
189,3.8,2017-10-01
190,3.8,2017-11-01
191,3.7,2017-12-01
192,4.4,2018-01-01
193,4.4,2018-02-01
194,4.1,2018-03-01
195,3.5,2018-04-01
196,3.6,2018-05-01
197,4.2,2018-06-01
198,4.0,2018-07-01
199,3.8,2018-08-01
200,3.4,2018-09-01
201,3.4,2018-10-01
202,3.3,2018-11-01
203,3.4,2018-12-01
204,4.1,2019-01-01
205,3.8,2019-02-01
206,3.6,2019-03-01
207,3.0,2019-04-01
208,3.2,2019-05-01
209,3.7,2019-06-01
210,3.7,2019-07-01
211,3.6,2019-08-01
212,3.0,2019-09-01
213,3.1,2019-10-01
214,3.0,2019-11-01
215,2.9,2019-12-01
216,3.4,2020-01-01
217,3.4,2020-02-01
218,4.3,2020-03-01
219,8.8,2020-04-01
220,9.3,2020-05-01
221,8.1,2020-06-01
222,7.8,2020-07-01
223,7.0,2020-08-01
224,7.0,2020-09-01
225,6.5,2020-10-01
226,6.3,2020-11-01
227,6.3,2020-12-01
228,6.7,2021-01-01
229,6.4,2021-02-01
230,6.1,2021-03-01
231,5.6,2021-04-01
232,5.7,2021-05-01
233,6.3,2021-06-01
234,5.6,2021-07-01
235,5.5,2021-08-01
236,4.5,2021-09-01
237,4.2,2021-10-01
238,3.9,2021-11-01
239,3.2,2021-12-01
240,3.8,2022-01-01
241,3.7,2022-02-01
242,3.3,2022-03-01
243,2.9,2022-04-01
244,3.1,2022-05-01
245,3.7,2022-06-01
246,3.4,2022-07-01
247,3.5,2022-08-01
248,2.9,2022-09-01
249,3.1,2022-10-01
250,2.8,2022-11-01
251,2.5,2022-12-01
252,3.0,2023-01-01
253,3.1,2023-02-01
254,2.3,2023-03-01
255,1.9,2023-04-01
256,2.2,2023-05-01
257,1.7,2023-06-01
258,1.7,2023-07-01
259,1.8,2023-08-01
260,1.8,2023-09-01
261,2.1,2023-10-01
262,1.8,2023-11-01
263,2.0(P),2023-12-01
